Provinsi;PSTK;IPM;TPAK;TPT;PPM;RLS;;;;
Aceh;1031,589437;73,4;64,77;6,03;14,45;9,55;;;;
Sumatera Utara;1646,721311;73,37;71,06;5,89;8,15;9,82;;;;
Sumatera Barat;1517,285674;73,75;69,61;5,94;5,95;9,28;;;;
Riau;3227,9507;74,04;64,45;4,23;6,68;9,32;;;;
Jambi;1983,436802;72,77;68,75;4,53;7,58;8,81;;;;
Sumatera Selatan;1943,235215;71,62;70,72;4,11;11,78;8,5;;;;
Bengkulu;1436,580825;72,78;70,91;3,42;14,04;9,03;;;;
Lampung;1642,959427;71,15;70,04;4,23;11,11;8,29;;;;
Kepulauan Bangka Belitung;1385,918659;72,85;68,34;4,56;4,52;8,25;;;;
Kepulauan Riau;2322,704659;77,11;68,68;6,8;5,69;10,41;;;;
DKI Jakarta;5059,60483;82,46;65,21;6,53;4,44;11,45;;;;
Jawa Barat;1173,93534;73,74;66,49;7,44;7,62;8,83;;;;
Jawa Tengah;1140,166625;73,39;71,72;5,13;10,77;8,01;;;;
DI Yogyakarta;1046,581566;81,07;74,08;3,69;11,04;9,83;;;;
Jawa Timur;1927,947953;73,38;72,56;4,88;10,35;8,11;;;;
Banten;1232,017135;73,87;64,44;7,52;6,17;9,15;;;;
Bali;1307,429171;77,1;77,08;2,69;4,25;9,45;;;;
Nusa Tenggara Barat;1080,361011;70,2;73,31;2,8;13,85;7,74;;;;
Nusa Tenggara Timur;905,4138878;66,68;75,72;3,14;19,96;7,82;;;;
Kalimantan Barat;1210,840982;69,41;69,42;5,05;6,71;7,71;;;;
Kalimantan Tengah;1563,585376;72,2;67,18;4,1;5,11;8,73;;;;
Kalimantan Selatan;1424,670391;72,5;69,76;4,31;4,29;8,55;;;;
Kalimantan Timur;3900,307247;78,2;65,57;5,31;6,11;9,99;;;;
Kalimantan Utara;4150,329083;72,49;70,35;4,01;6,45;9,34;;;;
Sulawesi Utara;1532,035356;74,36;64,09;6,1;7,38;9,77;;;;
Sulawesi Tengah;3317,433628;70,95;69,85;2,95;12,41;8,96;;;;
Sulawesi Selatan;1872,414719;73,46;65,66;4,33;8,7;8,76;;;;
Sulawesi Tenggara;1679,454927;72,79;70,07;3,15;11,43;9,31;;;;
Gorontalo;1167,383513;70,45;70,79;3,06;15,15;8,1;;;;
Sulawesi Barat;1483,939962;67,55;71,05;2,27;11,49;8,13;;;;
Maluku;880,7113939;70,94;63,6;6,31;16,42;10,2;;;;
Maluku Utara;1894,752358;70,21;67,77;4,31;6,46;9,26;;;;
Papua Barat;2608,202654;66,16;67,24;5,38;20,49;7,93;;;;
Papua;5013,166346;72,41;77,2;2,67;26,03;7,15;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
